labels,batch,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,X222,X223,X224,X225,X226,X227,X228,X229,X230,X231,X232,X233,X234,X235,X236,X237,X238,X239,X240,X241,X242,X243,X244,X245,X246,X247,X248,X249,X250,X251,X252,X253,X254,X255,X256,X257,X258,X259,X260,X261,X262,X263,X264,X265,X266,X267,X268,X269,X270,X271,X272,X273,X274,X275,X276,X277,X278,X279,X280,X281,X282,X283,X284,X285,X286,X287,X288,X289,X290,X291,X292,X293,X294,X295,X296,X297,X298,X299,X300,X301,X302,X303,X304,X305,X306,X307,X308,X309,X310,X311,X312,X313,X314,X315,X316,X317,X318,X319,X320,X321,X322,X323,X324,X325
6,1,7.097484292,2.00785343,11.24332389,0,1.001958226,4.031579384,1.001958226,3.017716673,1.001958226,3.017716673,2.00785343,4.031579384,0,0,5.049473369,0,10.20055259,1.001958226,0,0,0,0,7.097484292,0,11.24332389,2.00785343,0,7.097484292,0,1.001958226,0,1.001958226,0,1.001958226,0,0,0,0,0,14.39736789,0,4.031579384,805.704236,0,5.049473369,0,0,4.031579384,0,0,0,0,0,2.00785343,0,1.001958226,2.00785343,0,1.001958226,0,1.001958226,0,5.049473369,0,0,1.001958226,0,0,0,6.071430814,0,0,0,0,0,0,1.001958226,6.071430814,0,4.031579384,1.001958226,2.00785343,0,0,0,4.031579384,1.001958226,4.031579384,1.001958226,3.017716673,0,0,12.29036011,2.00785343,0,0,0,0,6.071430814,1.001958226,3.017716673,1.001958226,0,1.001958226,2.00785343,1.001958226,0,0,0,0,0,1.001958226,1.001958226,1.001958226,0,1.001958226,10.20055259,0,0,0,4.031579384,5.049473369,1.001958226,0,0,0,2.00785343,2.00785343,3.017716673,0,5.049473369,1.001958226,0,2.00785343,0,1.001958226,2.00785343,0,0,0,0,0,2.00785343,0,0,5.049473369,0,2.00785343,0,1.001958226,1.001958226,0,1.001958226,0,2.00785343,0,0,1.001958226,0,0,0,1.001958226,2.00785343,0,0,1.001958226,0,0,0,0,0,0,0,0,1.001958226,1.001958226,1.001958226,2.00785343,0,0,0,1.001958226,1.001958226,0,0,0,2.00785343,0,0,0,1.001958226,0,2.00785343,1.001958226,0,0,0,0,0,0,1.001958226,0,1.001958226,0,1.001958226,0,0,0,0,0,1.001958226,0,1.001958226,0,0,3.017716673,0,0,0,1.001958226,0,1.001958226,0,2.00785343,1.001958226,0,1.001958226,1.001958226,0,1.001958226,0,0,0,0,1.001958226,0,1.001958226,3.017716673,0,0,0,1.001958226,0,3.017716673,1.001958226,0,0,0,1.001958226,1.001958226,0,0,0,0,0,0,0,1.001958226,0,0,0,0,1.001958226,0,0,0,0,3.017716673,0,0,0,0,0,0,0,0,0,1.001958226,1.001958226,0,1.001958226,0,0,0,0,0,0,1.001958226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001958226,0,1.001958226,1.001958226,0,1.001958226,0
0,1,31.90846597,1597.011104,19.74202966,5.049473369,1419.565426,1138.32068,1007.54932,1597.011104,585.4927121,17.59075649,48.27933947,20.8244837,709.7827129,3.017716673,2.00785343,216.2424521,1.001958226,1.001958226,279.2525179,475.2122855,616.8789065,304.2479662,3.017716673,762.9383903,0,4.031579384,6.071430814,3.017716673,45.87556594,248.4394153,25.20065864,0,4.031579384,87.3397139,1.001958226,69.67753879,9.16201161,12.29036011,4.031579384,0,7.097484292,24.09958167,16.52186141,36.48001603,6.071430814,0,1.001958226,0,2.00785343,4.031579384,0,61.91936932,0,1.001958226,1.001958226,19.74202966,0,5.049473369,149.0772004,16.52186141,1.001958226,0,84.54187184,0,6.071430814,2.00785343,10.20055259,0,0,5.049473369,0,2.00785343,0,1.001958226,7.097484292,11.24332389,13.34169629,1.001958226,0,0,2.00785343,1.001958226,1.001958226,0,3.017716673,3.017716673,0,0,9.16201161,7.097484292,2.00785343,0,0,0,6.071430814,1.001958226,2.00785343,1.001958226,7.097484292,0,0,1.001958226,0,47.07463137,1.001958226,1.001958226,0,14.39736789,3.017716673,7.097484292,5.049473369,11.24332389,6.071430814,5.049473369,0,8.127666769,0,0,2.00785343,0,3.017716673,1.001958226,8.127666769,1.001958226,9.16201161,12.29036011,1.001958226,0,0,0,3.017716673,10.20055259,0,9.16201161,1.001958226,2.00785343,1.001958226,0,0,2.00785343,0,8.127666769,0,3.017716673,1.001958226,2.00785343,1.001958226,2.00785343,1.001958226,0,0,0,0,0,0,0,1.001958226,0,0,0,0,0,0,0,0,0,0,0,3.017716673,9.16201161,0,2.00785343,8.127666769,8.127666769,6.071430814,1.001958226,3.017716673,1.001958226,1.001958226,1.001958226,1.001958226,0,0,1.001958226,5.049473369,1.001958226,0,0,0,5.049473369,3.017716673,0,0,0,0,0,6.071430814,0,0,1.001958226,0,0,0,0,0,0,3.017716673,0,9.16201161,2.00785343,0,0,1.001958226,0,0,0,0,2.00785343,2.00785343,0,9.16201161,0,0,0,1.001958226,0,0,10.20055259,3.017716673,0,0,0,0,0,0,0,0,1.001958226,0,0,0,2.00785343,0,0,2.00785343,0,3.017716673,0,0,0,0,2.00785343,0,0,0,0,1.001958226,0,0,0,0,0,3.017716673,3.017716673,0,1.001958226,1.001958226,0,0,0,7.097484292,0,0,0,3.017716673,0,0,0,2.00785343,1.001958226,2.00785343,2.00785343,0,0,0,1.001958226,0,0,0,0,2.00785343,0,1.001958226,0,1.001958226,0,2.00785343,0,0,0,0,0,0,2.00785343,0,0,1.001958226,0,0,0,2.00785343,0,2.00785343,0,0,1.001958226,0,3.017716673,3.017716673,0,0,1.001958226,2.00785343,2.00785343,1.001958226
2,1,1419.565426,11.24332389,285.2763253,1.001958226,6.071430814,3.017716673,2.00785343,3.017716673,2.00785343,5.049473369,0,11.24332389,2.00785343,0,14.39736789,2.00785343,21.91153417,0,1.001958226,1.001958226,5.049473369,0,24.09958167,2.00785343,13.34169629,15.45741081,0,11.24332389,0,1.001958226,0,3.017716673,1.001958226,0,3.017716673,1.001958226,0,1.001958226,2.00785343,14.39736789,2.00785343,16.52186141,6.071430814,1.001958226,2.00785343,0,7.097484292,8.127666769,0,0,0,2.00785343,17.59075649,0,0,0,1.001958226,1.001958226,0,0,5.049473369,0,8.127666769,0,0,0,0,1.001958226,0,2.00785343,17.59075649,0,0,0,0,0,0,4.031579384,0,0,8.127666769,8.127666769,0,0,0,0,4.031579384,1.001958226,0,6.071430814,0,4.031579384,5.049473369,4.031579384,4.031579384,0,0,1.001958226,10.20055259,2.00785343,12.29036011,1.001958226,0,1.001958226,1.001958226,0,0,0,0,0,4.031579384,9.16201161,0,5.049473369,0,2.00785343,2.00785343,0,0,1.001958226,1.001958226,1.001958226,0,0,1.001958226,1.001958226,0,1.001958226,9.16201161,0,1.001958226,0,0,1.001958226,0,4.031579384,2.00785343,0,2.00785343,2.00785343,0,3.017716673,0,1.001958226,0,0,0,1.001958226,0,0,0,1.001958226,1.001958226,2.00785343,0,0,0,3.017716673,0,3.017716673,0,0,0,0,0,2.00785343,1.001958226,0,0,0,1.001958226,0,0,2.00785343,1.001958226,1.001958226,0,3.017716673,0,0,0,0,1.001958226,0,1.001958226,3.017716673,4.031579384,1.001958226,2.00785343,0,1.001958226,0,1.001958226,2.00785343,0,0,1.001958226,6.071430814,0,0,1.001958226,1.001958226,2.00785343,0,0,0,2.00785343,0,0,1.001958226,1.001958226,0,1.001958226,1.001958226,1.001958226,0,0,1.001958226,0,2.00785343,0,0,1.001958226,1.001958226,0,2.00785343,0,1.001958226,0,3.017716673,2.00785343,0,2.00785343,1.001958226,0,1.001958226,0,0,0,0,0,0,0,2.00785343,0,1.001958226,0,0,0,0,1.001958226,2.00785343,0,0,1.001958226,0,0,1.001958226,0,0,3.017716673,0,1.001958226,0,0,0,2.00785343,0,0,0,2.00785343,0,1.001958226,0,0,0,1.001958226,0,0,0,0,0,0,0,0,1.001958226,1.001958226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00785343,1.001958226,0,0,1.001958226,0,0,0,0
4,1,18.66413333,7.097484292,13.34169629,2.00785343,0,6.071430814,1.001958226,1.001958226,2.00785343,6.071430814,2.00785343,1597.011104,0,0,29.65294477,0,23.00322026,1.001958226,0,2.00785343,1.001958226,0,9.16201161,2.00785343,1.001958226,2.00785343,1.001958226,4.031579384,0,4.031579384,0,0,2.00785343,1.001958226,0,1.001958226,0,1.001958226,1.001958226,11.24332389,0,1.001958226,5.049473369,1.001958226,5.049473369,60.64889525,0,12.29036011,1.001958226,0,0,1.001958226,0,0,0,1.001958226,0,1.001958226,0,0,18.66413333,2.00785343,10.20055259,1.001958226,0,0,0,0,2.00785343,5.049473369,1.001958226,0,0,1.001958226,0,0,3.017716673,1.001958226,1.001958226,4.031579384,7.097484292,0,0,0,0,1.001958226,0,2.00785343,1.001958226,13.34169629,0,6.071430814,4.031579384,6.071430814,3.017716673,0,2.00785343,0,6.071430814,4.031579384,3.017716673,5.049473369,0,2.00785343,7.097484292,11.24332389,1.001958226,0,0,0,0,6.071430814,0,3.017716673,0,0,0,1.001958226,1.001958226,1.001958226,16.52186141,8.127666769,5.049473369,0,1.001958226,1.001958226,6.071430814,0,5.049473369,0,4.031579384,2.00785343,6.071430814,6.071430814,0,4.031579384,0,0,0,4.031579384,0,3.017716673,9.16201161,0,0,3.017716673,0,0,0,0,5.049473369,2.00785343,0,0,1.001958226,0,0,0,1.001958226,0,0,0,6.071430814,0,0,0,1.001958226,0,11.24332389,2.00785343,4.031579384,0,0,1.001958226,1.001958226,1.001958226,0,1.001958226,0,0,3.017716673,2.00785343,0,0,1.001958226,3.017716673,6.071430814,0,1.001958226,3.017716673,1.001958226,2.00785343,0,5.049473369,0,0,0,1.001958226,3.017716673,2.00785343,2.00785343,0,0,2.00785343,0,1.001958226,5.049473369,0,1.001958226,0,0,1.001958226,0,1.001958226,1.001958226,1.001958226,0,0,0,0,0,0,0,2.00785343,1.001958226,0,5.049473369,3.017716673,0,3.017716673,0,0,1.001958226,3.017716673,2.00785343,0,1.001958226,0,0,1.001958226,1.001958226,0,3.017716673,2.00785343,0,0,4.031579384,0,0,2.00785343,0,2.00785343,0,3.017716673,0,0,0,0,0,0,0,1.001958226,0,0,1.001958226,0,0,0,1.001958226,0,0,0,0,0,0,1.001958226,0,0,2.00785343,0,0,1.001958226,0,0,1.001958226,0,1.001958226,0,0,0,0,0,0,0,0,1.001958226,0,0,0,0,0,0,0,0,0,0,2.00785343,0,0,1.001958226,0,0,0,1.001958226,0,1.001958226,0,1.001958226,0,1.001958226,0,0,0,1.001958226,0
3,1,16.52186141,9.16201161,31.90846597,363.0190232,6.071430814,3.017716673,2.00785343,6.071430814,0,4.031579384,0,4.031579384,2.00785343,0,7.097484292,2.00785343,12.29036011,0,0,0,1.001958226,1.001958226,11.24332389,4.031579384,0,3.017716673,0,10.20055259,0,0,1.001958226,1.001958226,2.00785343,1.001958226,3.017716673,0,1.001958226,0,1.001958226,3.017716673,1.001958226,3.017716673,7.097484292,0,2.00785343,18.66413333,6.071430814,14.39736789,1.001958226,1.001958226,0,1.001958226,8.127666769,0,1.001958226,2.00785343,1.001958226,0,1.001958226,0,6.071430814,3.017716673,9.16201161,0,1.001958226,1.001958226,1.001958226,0,42.31170328,3.017716673,3.017716673,8.127666769,0,0,0,1.001958226,0,0,0,5.049473369,2.00785343,0,0,0,0,4.031579384,2.00785343,0,0,2.00785343,0,9.16201161,3.017716673,3.017716673,2.00785343,0,2.00785343,0,6.071430814,1.001958226,1.001958226,0,0,2.00785343,1.001958226,6.071430814,0,0,0,0,0,2.00785343,2.00785343,5.049473369,0,0,3.017716673,0,0,1.001958226,0,0,1.001958226,0,0,0,8.127666769,0,9.16201161,0,0,1.001958226,1.001958226,2.00785343,0,4.031579384,1.001958226,0,2.00785343,2.00785343,5.049473369,1.001958226,0,0,0,2.00785343,0,0,5.049473369,0,1.001958226,0,0,1.001958226,2.00785343,0,0,0,3.017716673,0,0,2.00785343,1.001958226,0,0,0,1.001958226,3.017716673,0,1.001958226,0,1.001958226,0,0,1.001958226,1.001958226,0,5.049473369,0,0,1.001958226,1.001958226,2.00785343,1.001958226,0,1.001958226,2.00785343,2.00785343,0,0,1.001958226,1.001958226,0,0,0,0,0,1.001958226,0,0,2.00785343,1.001958226,1.001958226,0,0,1.001958226,0,0,0,0,0,4.031579384,0,0,1.001958226,0,1.001958226,0,0,0,0,1.001958226,1.001958226,2.00785343,1.001958226,1.001958226,2.00785343,0,0,0,1.001958226,0,2.00785343,0,0,0,0,0,0,1.001958226,0,0,0,0,0,1.001958226,2.00785343,2.00785343,0,0,0,0,0,0,0,0,0,3.017716673,0,0,0,0,0,0,0,0,0,1.001958226,0,0,0,1.001958226,1.001958226,1.001958226,1.001958226,0,0,0,0,0,1.001958226,1.001958226,0,0,0,0,0,0,0,0,2.00785343,0,0,0,0,0,0,0,0,0,0,0,0,3.017716673,0,2.00785343,2.00785343,0,0,0,0,0,1.001958226,0,0,0,0,0,1.001958226,1.001958226,1.001958226,0,0,1.001958226,1.001958226
5,1,29.65294477,16.52186141,6.071430814,1.001958226,5.049473369,14.39736789,2.00785343,1.001958226,3.017716673,9.16201161,14.39736789,6.071430814,0,0,2.00785343,2.00785343,0,2.00785343,1.001958226,1.001958226,2.00785343,0,0,5.049473369,2.00785343,1.001958226,26.30649189,0,7.097484292,1.001958226,5.049473369,0,56.87487113,48.27933947,0,3.017716673,13.34169629,5.049473369,31.90846597,2.00785343,11.24332389,2.00785343,12.29036011,15.45741081,81.77427732,0,0,0,50.70589792,27.4171227,10.20055259,0,0,0,33.04372282,63.19617995,11.24332389,1.001958226,2.00785343,3.017716673,0,4.031579384,93.02883691,39.96306295,8.127666769,11.24332389,1.001958226,2.00785343,1.001958226,2.00785343,1.001958226,1.001958226,53.15567738,5.049473369,0,10.20055259,13.34169629,0,6.071430814,0,1.001958226,2.00785343,14.39736789,4.031579384,19.74202966,8.127666769,0,1.001958226,17.59075649,5.049473369,6.071430814,0,0,0,1.001958226,11.24332389,20.8244837,2.00785343,5.049473369,10.20055259,0,4.031579384,1.001958226,4.031579384,3.017716673,0,25.20065864,1.001958226,6.071430814,0,4.031579384,0,14.39736789,1.001958226,5.049473369,7.097484292,11.24332389,8.127666769,3.017716673,3.017716673,3.017716673,0,4.031579384,9.16201161,31.90846597,14.39736789,0,0,0,0,1.001958226,8.127666769,4.031579384,2.00785343,4.031579384,0,0,0,0,0,0,6.071430814,0,0,2.00785343,8.127666769,0,6.071430814,1.001958226,7.097484292,0,0,0,0,3.017716673,0,0,0,0,0,2.00785343,0,0,0,1.001958226,0,0,0,1.001958226,6.071430814,0,4.031579384,0,0,8.127666769,0,0,1.001958226,0,2.00785343,1.001958226,0,0,5.049473369,1.001958226,1.001958226,0,2.00785343,0,1.001958226,2.00785343,1.001958226,0,0,7.097484292,1.001958226,0,0,1.001958226,2.00785343,1.001958226,0,0,0,0,6.071430814,8.127666769,0,1.001958226,1.001958226,0,0,0,0,2.00785343,0,5.049473369,4.031579384,0,0,1.001958226,2.00785343,0,0,1.001958226,0,0,0,10.20055259,8.127666769,0,0,0,0,0,0,0,0,0,0,0,4.031579384,2.00785343,0,2.00785343,0,0,0,0,1.001958226,2.00785343,3.017716673,0,0,0,1.001958226,0,2.00785343,0,0,0,0,3.017716673,3.017716673,0,4.031579384,0,0,4.031579384,1.001958226,1.001958226,0,2.00785343,0,3.017716673,0,0,0,0,2.00785343,0,0,0,0,1.001958226,1.001958226,1.001958226,0,0,0,1.001958226,0,0,0,0,0,1.001958226,0,0,0,0,0,0,4.031579384,0,0,0,1.001958226,0,0,3.017716673,0,1.001958226,2.00785343,0,0,1.001958226,3.017716673,1.001958226,1.001958226,0,1.001958226,0,2.00785343,2.00785343
7,1,19.74202966,13.34169629,7.097484292,0,4.031579384,9.16201161,1.001958226,2.00785343,2.00785343,0,0,9.16201161,1.001958226,0,0,0,1.001958226,0,1.001958226,4.031579384,3.017716673,0,0,0,1.001958226,1.001958226,0,1.001958226,0,2.00785343,2.00785343,0,1.001958226,3.017716673,1.001958226,0,2.00785343,0,2.00785343,1.001958226,12.29036011,0,6.071430814,15.45741081,1.001958226,0,2.00785343,0,0,2.00785343,0,2.00785343,0,0,4.031579384,0,3.017716673,29.65294477,0,0,1.001958226,11.24332389,74.98342821,16.52186141,1.001958226,1.001958226,0,0,0,1.001958226,0,0,1.001958226,0,0,0,1.001958226,0,1.001958226,0,5.049473369,0,0,0,0,8.127666769,0,13.34169629,0,2.00785343,1.001958226,0,0,0,1.001958226,0,13.34169629,1.001958226,2.00785343,2.00785343,0,1.001958226,1.001958226,1.001958226,0,0,0,4.031579384,2.00785343,0,2.00785343,0,1.001958226,0,4.031579384,3.017716673,0,0,1.001958226,1.001958226,0,0,0,3.017716673,4.031579384,1.001958226,1.001958226,0,0,0,0,12.29036011,0,0,0,2.00785343,0,0,0,0,0,2.00785343,0,0,0,6.071430814,37.6357742,5.049473369,0,0,1.001958226,7.097484292,0,1.001958226,0,0,0,0,0,0,0,1.001958226,1.001958226,0,1.001958226,0,0,0,0,4.031579384,0,0,2.00785343,0,0,2.00785343,3.017716673,2.00785343,10.20055259,6.071430814,18.66413333,1.001958226,0,3.017716673,0,1.001958226,0,0,0,1.001958226,0,2.00785343,0,0,1.001958226,1.001958226,0,0,0,0,0,0,0,0,0,0,2.00785343,0,2.00785343,4.031579384,2.00785343,0,0,1.001958226,0,0,0,2.00785343,0,0,0,0,0,0,0,0,0,4.031579384,9.16201161,2.00785343,2.00785343,0,0,0,0,0,2.00785343,0,1.001958226,0,0,1.001958226,1.001958226,0,0,0,0,0,0,0,0,2.00785343,5.049473369,0,0,0,0,0,1.001958226,0,0,0,3.017716673,0,0,0,2.00785343,1.001958226,0,1.001958226,0,0,1.001958226,0,1.001958226,0,0,0,0,0,0,1.001958226,0,0,0,2.00785343,0,0,0,0,1.001958226,0,0,0,0,0,1.001958226,0,0,0,0,0,0,7.097484292,0,0,2.00785343,0,1.001958226,2.00785343,0,0,0,0,0,0,0,0,0,1.001958226,1.001958226,1.001958226,0,1.001958226,1.001958226
4,1,21.91153417,7.097484292,8.127666769,1.001958226,5.049473369,7.097484292,1.001958226,3.017716673,4.031579384,10.20055259,0,1597.011104,3.017716673,0,15.45741081,0,25.20065864,0,0,1.001958226,1.001958226,0,10.20055259,2.00785343,10.20055259,4.031579384,0,12.29036011,2.00785343,0,2.00785343,0,0,0,2.00785343,0,2.00785343,0,8.127666769,9.16201161,2.00785343,1.001958226,8.127666769,0,8.127666769,16.52186141,0,2.00785343,0,0,12.29036011,0,2.00785343,0,0,6.071430814,1.001958226,0,1.001958226,0,16.52186141,0,17.59075649,1.001958226,2.00785343,0,0,0,1.001958226,7.097484292,1.001958226,0,0,2.00785343,0,0,4.031579384,2.00785343,0,4.031579384,8.127666769,0,0,0,0,10.20055259,0,4.031579384,1.001958226,12.29036011,2.00785343,0,3.017716673,6.071430814,0,0,4.031579384,1.001958226,3.017716673,11.24332389,3.017716673,0,0,1.001958226,3.017716673,8.127666769,0,0,0,1.001958226,0,2.00785343,0,2.00785343,0,2.00785343,2.00785343,3.017716673,0,0,7.097484292,1.001958226,2.00785343,0,1.001958226,3.017716673,19.74202966,0,4.031579384,0,1.001958226,2.00785343,2.00785343,2.00785343,0,7.097484292,1.001958226,0,21.91153417,2.00785343,1.001958226,3.017716673,5.049473369,1.001958226,0,1.001958226,0,3.017716673,0,1.001958226,2.00785343,1.001958226,3.017716673,1.001958226,1.001958226,0,0,1.001958226,1.001958226,0,0,7.097484292,0,0,2.00785343,1.001958226,1.001958226,0,3.017716673,5.049473369,0,0,0,0,1.001958226,0,0,2.00785343,0,0,2.00785343,1.001958226,1.001958226,2.00785343,0,1.001958226,6.071430814,1.001958226,0,1.001958226,0,0,0,0,0,0,2.00785343,1.001958226,2.00785343,3.017716673,2.00785343,0,0,0,4.031579384,2.00785343,2.00785343,3.017716673,1.001958226,0,1.001958226,1.001958226,0,0,1.001958226,1.001958226,0,0,2.00785343,0,4.031579384,0,0,1.001958226,3.017716673,1.001958226,0,1.001958226,1.001958226,1.001958226,2.00785343,0,1.001958226,0,2.00785343,0,0,0,1.001958226,13.34169629,0,1.001958226,1.001958226,0,0,0,3.017716673,0,2.00785343,1.001958226,0,0,1.001958226,5.049473369,1.001958226,1.001958226,0,1.001958226,0,0,1.001958226,0,0,0,0,0,0,2.00785343,0,0,0,1.001958226,0,0,3.017716673,0,2.00785343,0,2.00785343,1.001958226,0,2.00785343,0,0,0,1.001958226,2.00785343,0,0,0,1.001958226,0,1.001958226,0,0,2.00785343,1.001958226,0,0,0,0,0,0,1.001958226,0,0,0,0,0,0,1.001958226,0,0,2.00785343,1.001958226,0,0,0,0,0,0,3.017716673,2.00785343,1.001958226,1.001958226
2,1,1138.32068,8.127666769,428.537967,3.017716673,7.097484292,6.071430814,2.00785343,3.017716673,2.00785343,6.071430814,1.001958226,13.34169629,1.001958226,0,68.36807302,1.001958226,33.04372282,0,2.00785343,1.001958226,0,0,19.74202966,2.00785343,42.31170328,9.16201161,0,19.74202966,0,0,0,4.031579384,0,4.031579384,16.52186141,0,3.017716673,1.001958226,4.031579384,94.47109425,0,31.90846597,6.071430814,0,6.071430814,0,12.29036011,9.16201161,0,0,0,0,9.16201161,0,3.017716673,1.001958226,0,6.071430814,0,0,3.017716673,0,14.39736789,0,0,1.001958226,1.001958226,0,1.001958226,27.4171227,7.097484292,0,0,0,0,0,0,14.39736789,0,3.017716673,6.071430814,10.20055259,0,0,1.001958226,12.29036011,0,1.001958226,0,3.017716673,0,7.097484292,8.127666769,6.071430814,7.097484292,0,11.24332389,1.001958226,9.16201161,3.017716673,5.049473369,5.049473369,0,2.00785343,3.017716673,0,1.001958226,0,1.001958226,0,0,4.031579384,1.001958226,2.00785343,0,0,1.001958226,1.001958226,2.00785343,0,1.001958226,1.001958226,1.001958226,1.001958226,1.001958226,3.017716673,0,8.127666769,6.071430814,1.001958226,3.017716673,4.031579384,1.001958226,1.001958226,0,0,2.00785343,0,0,1.001958226,2.00785343,3.017716673,2.00785343,5.049473369,1.001958226,1.001958226,0,0,0,0,3.017716673,1.001958226,0,1.001958226,0,4.031579384,5.049473369,2.00785343,3.017716673,0,0,5.049473369,0,0,1.001958226,2.00785343,0,0,0,0,1.001958226,0,0,4.031579384,2.00785343,2.00785343,3.017716673,5.049473369,0,0,0,1.001958226,0,0,4.031579384,6.071430814,1.001958226,0,5.049473369,2.00785343,1.001958226,0,1.001958226,1.001958226,0,4.031579384,1.001958226,1.001958226,1.001958226,0,0,0,3.017716673,2.00785343,1.001958226,2.00785343,6.071430814,0,0,1.001958226,3.017716673,0,0,2.00785343,0,5.049473369,2.00785343,0,2.00785343,3.017716673,1.001958226,2.00785343,1.001958226,2.00785343,0,2.00785343,0,1.001958226,5.049473369,1.001958226,2.00785343,0,1.001958226,0,1.001958226,2.00785343,1.001958226,2.00785343,0,0,0,0,0,0,0,2.00785343,0,1.001958226,2.00785343,0,2.00785343,1.001958226,2.00785343,0,2.00785343,0,2.00785343,0,1.001958226,0,0,0,0,3.017716673,0,0,0,0,0,0,0,1.001958226,1.001958226,0,2.00785343,0,0,0,0,0,1.001958226,1.001958226,0,0,0,1.001958226,0,0,0,0,3.017716673,0,0,0,0,0,1.001958226,0,0,0,0,0,0,2.00785343,0,1.001958226,1.001958226,0,1.001958226,2.00785343,0,0,1.001958226,0,2.00785343,0,1.001958226,1.001958226,3.017716673,0,0,2.00785343,1.001958226,1.001958226,1.001958226
5,1,25.20065864,100.3227776,17.59075649,3.017716673,8.127666769,14.39736789,1.001958226,5.049473369,4.031579384,3.017716673,42.31170328,9.16201161,3.017716673,0,1.001958226,0,2.00785343,4.031579384,0,2.00785343,0,2.00785343,0,2.00785343,8.127666769,1.001958226,12.29036011,2.00785343,0,5.049473369,3.017716673,0,9.16201161,45.87556594,0,2.00785343,123.5410973,23.00322026,42.31170328,0,23.00322026,1.001958226,13.34169629,14.39736789,49.48974362,0,0,1.001958226,19.74202966,19.74202966,7.097484292,12.29036011,0,3.017716673,19.74202966,11.24332389,12.29036011,2.00785343,0,0,0,9.16201161,85.93697066,1.001958226,15.45741081,9.16201161,5.049473369,3.017716673,1.001958226,1.001958226,1.001958226,0,26.30649189,7.097484292,0,7.097484292,3.017716673,0,8.127666769,0,3.017716673,9.16201161,5.049473369,9.16201161,19.74202966,13.34169629,0,7.097484292,6.071430814,9.16201161,0,0,0,0,0,21.91153417,59.38469515,118.7259084,12.29036011,2.00785343,0,1.001958226,0,14.39736789,0,0,14.39736789,2.00785343,5.049473369,4.031579384,11.24332389,1.001958226,20.8244837,0,2.00785343,12.29036011,2.00785343,7.097484292,1.001958226,5.049473369,3.017716673,1.001958226,11.24332389,7.097484292,1.001958226,14.39736789,1.001958226,0,0,0,0,5.049473369,1.001958226,1.001958226,3.017716673,0,0,0,0,0,0,3.017716673,1.001958226,0,6.071430814,12.29036011,0,7.097484292,0,11.24332389,0,0,0,2.00785343,3.017716673,0,3.017716673,0,0,1.001958226,1.001958226,0,0,0,7.097484292,0,1.001958226,0,0,3.017716673,0,2.00785343,2.00785343,0,9.16201161,0,0,0,3.017716673,9.16201161,5.049473369,2.00785343,4.031579384,3.017716673,0,2.00785343,0,0,0,0,4.031579384,4.031579384,0,0,7.097484292,0,0,0,0,1.001958226,0,0,0,1.001958226,0,2.00785343,5.049473369,0,1.001958226,6.071430814,0,0,0,0,3.017716673,0,6.071430814,4.031579384,0,0,3.017716673,2.00785343,0,2.00785343,1.001958226,0,0,5.049473369,2.00785343,4.031579384,0,0,0,0,0,0,0,0,4.031579384,1.001958226,1.001958226,0,0,0,1.001958226,0,4.031579384,0,0,0,2.00785343,4.031579384,0,0,0,9.16201161,3.017716673,0,0,0,0,0,0,2.00785343,0,2.00785343,0,0,0,0,0,0,2.00785343,0,3.017716673,0,0,0,2.00785343,3.017716673,2.00785343,0,1.001958226,0,1.001958226,4.031579384,5.049473369,0,0,0,6.071430814,0,0,0,0,0,1.001958226,0,0,0,0,0,0,2.00785343,0,1.001958226,7.097484292,0,0,6.071430814,2.00785343,0,2.00785343,0,0,3.017716673,0,1.001958226,0,0,0,2.00785343,1.001958226,4.031579384,1.001958226
